,thres,percor
105,10.5,48.0
106,10.6,48.0
107,10.7,48.0
108,10.8,48.0
109,10.9,48.0
110,11.0,48.0
111,11.1,48.0
112,11.2,48.0
113,11.3,48.0
114,11.4,48.0
115,11.5,48.0
116,11.6,48.0
117,11.7,48.0
118,11.8,48.0
119,11.9,48.0
120,12.0,48.0
121,12.1,48.0
122,12.2,48.0
123,12.3,48.0
124,12.4,48.0
125,12.5,48.0
126,12.6,48.0
127,12.7,48.0
128,12.8,48.0
129,12.9,48.0
130,13.0,48.0
131,13.1,48.0
132,13.2,48.0
133,13.3,48.0
134,13.4,48.0
135,13.5,48.0
136,13.6,48.0
137,13.7,48.0
138,13.8,48.0
139,13.9,48.0
140,14.0,48.0
141,14.1,48.0
142,14.2,48.0
143,14.3,48.0
144,14.4,48.0
145,14.5,48.0
146,14.6,48.0
147,14.7,48.0
148,14.8,48.0
149,14.9,48.0
150,15.0,48.0
151,15.1,48.0
152,15.2,48.0
153,15.3,48.0
154,15.4,48.0
155,15.5,48.0
156,15.6,48.0
157,15.7,48.0
158,15.8,48.0
159,15.9,48.0
160,16.0,48.0
161,16.1,48.0
162,16.2,48.0
163,16.3,48.0
164,16.4,48.0
165,16.5,48.0
166,16.6,48.0
167,16.7,48.0
168,16.8,48.0
169,16.9,48.0
170,17.0,48.0
171,17.1,48.0
172,17.2,48.0
173,17.3,48.0
174,17.4,48.0
175,17.5,48.0
176,17.6,48.0
177,17.7,48.0
178,17.8,48.0
179,17.9,48.0
180,18.0,48.0
181,18.1,48.0
182,18.2,48.0
183,18.3,48.0
184,18.4,48.0
185,18.5,48.0
186,18.6,48.0
187,18.7,48.0
188,18.8,48.0
189,18.9,48.0
190,19.0,48.0
191,19.1,48.0
192,19.2,48.0
193,19.3,48.0
194,19.4,48.0
195,19.5,48.0
196,19.6,48.0
197,19.7,48.0
198,19.8,48.0
199,19.9,48.0
200,20.0,48.0
201,20.1,48.0
202,20.2,48.0
203,20.3,48.0
204,20.4,48.0
205,20.5,48.0
206,20.6,48.0
207,20.7,48.0
208,20.8,48.0
209,20.9,48.0
210,21.0,48.0
211,21.1,48.0
212,21.2,48.0
213,21.3,48.0
214,21.4,48.0
215,21.5,48.0
216,21.6,48.0
217,21.7,48.0
218,21.8,48.0
219,21.9,48.0
220,22.0,48.0
221,22.1,48.0
222,22.2,48.0
223,22.3,48.0
224,22.4,48.0
225,22.5,48.0
226,22.6,48.0
227,22.7,48.0
228,22.8,48.0
229,22.9,48.0
230,23.0,48.0
231,23.1,48.0
232,23.2,48.0
233,23.3,48.0
234,23.4,48.0
235,23.5,48.0
236,23.6,48.0
237,23.7,48.0
238,23.8,48.0
239,23.9,48.0
240,24.0,48.0
241,24.1,48.0
242,24.2,48.0
243,24.3,48.0
244,24.4,48.0
245,24.5,48.0
246,24.6,48.0
247,24.7,48.0
248,24.8,48.0
249,24.9,48.0
250,25.0,48.0
251,25.1,48.0
252,25.2,48.0
253,25.3,48.0
254,25.4,48.0
255,25.5,48.0
256,25.6,48.0
257,25.7,48.0
258,25.8,48.0
259,25.9,48.0
260,26.0,48.0
261,26.1,48.0
262,26.2,48.0
263,26.3,48.0
264,26.4,48.0
265,26.5,48.0
266,26.6,48.0
267,26.7,48.0
268,26.8,48.0
269,26.9,48.0
270,27.0,48.0
271,27.1,48.0
272,27.2,48.0
273,27.3,48.0
274,27.4,48.0
275,27.5,48.0
276,27.6,48.0
277,27.7,48.0
278,27.8,48.0
279,27.9,48.0
280,28.0,48.0
281,28.1,48.0
282,28.2,48.0
283,28.3,48.0
284,28.4,48.0
285,28.5,48.0
286,28.6,48.0
287,28.7,48.0
288,28.8,49.0
289,28.9,49.0
290,29.0,49.0
291,29.1,49.0
292,29.2,49.0
293,29.3,49.0
294,29.4,49.0
295,29.5,49.0
296,29.6,49.0
297,29.7,49.0
298,29.8,49.0
299,29.9,49.0
300,30.0,49.0
301,30.1,49.0
302,30.2,49.0
303,30.3,49.0
304,30.4,49.0
305,30.5,49.0
306,30.6,49.0
307,30.7,49.0
308,30.8,49.0
309,30.9,49.0
310,31.0,49.0
311,31.1,49.0
312,31.2,49.0
313,31.3,49.0
314,31.4,49.0
315,31.5,49.0
316,31.6,49.0
317,31.7,49.0
318,31.8,49.0
319,31.9,49.0
320,32.0,49.0
321,32.1,49.0
322,32.2,49.0
323,32.3,49.0
324,32.4,49.0
325,32.5,49.0
326,32.6,49.0
327,32.7,49.0
328,32.8,49.0
329,32.9,49.0
330,33.0,49.0
331,33.1,49.0
332,33.2,49.0
333,33.3,49.0
334,33.4,49.0
335,33.5,49.0
336,33.6,49.0
337,33.7,49.0
338,33.8,49.0
339,33.9,49.0
340,34.0,49.0
341,34.1,49.0
342,34.2,49.0
343,34.3,49.0
344,34.4,49.0
345,34.5,49.0
346,34.6,49.0
347,34.7,50.0
348,34.8,50.0
349,34.9,50.0
350,35.0,50.0
351,35.1,50.0
352,35.2,50.0
353,35.3,50.0
354,35.4,50.0
355,35.5,50.0
356,35.6,50.0
357,35.7,50.0
358,35.8,50.0
359,35.9,50.0
360,36.0,50.0
361,36.1,50.0
362,36.2,50.0
363,36.3,51.0
364,36.4,51.0
365,36.5,51.0
366,36.6,51.0
367,36.7,51.0
368,36.8,51.0
369,36.9,51.0
370,37.0,51.0
371,37.1,51.0
372,37.2,51.0
373,37.3,51.0
374,37.4,51.0
375,37.5,53.0
376,37.6,53.0
377,37.7,53.0
378,37.8,53.0
379,37.9,53.0
380,38.0,53.0
381,38.1,53.0
382,38.2,53.0
383,38.3,53.0
384,38.4,53.0
385,38.5,53.0
386,38.6,54.0
387,38.7,54.0
388,38.8,54.0
389,38.9,54.0
390,39.0,54.0
391,39.1,54.0
392,39.2,54.0
393,39.3,54.0
394,39.4,54.0
395,39.5,54.0
396,39.6,54.0
397,39.7,54.0
398,39.8,55.00000000000001
399,39.9,55.00000000000001
400,40.0,55.00000000000001
401,40.1,56.00000000000001
402,40.2,56.00000000000001
403,40.3,56.00000000000001
404,40.4,56.00000000000001
405,40.5,56.00000000000001
406,40.6,56.00000000000001
407,40.7,56.00000000000001
408,40.8,56.00000000000001
409,40.9,56.00000000000001
410,41.0,56.99999999999999
411,41.1,56.99999999999999
412,41.2,56.99999999999999
413,41.3,56.99999999999999
414,41.4,56.99999999999999
415,41.5,56.99999999999999
416,41.6,56.99999999999999
417,41.7,56.99999999999999
418,41.8,56.99999999999999
419,41.9,56.99999999999999
420,42.0,56.99999999999999
421,42.1,56.99999999999999
422,42.2,56.99999999999999
423,42.3,57.99999999999999
424,42.4,57.99999999999999
425,42.5,57.99999999999999
426,42.6,57.99999999999999
427,42.7,57.99999999999999
428,42.8,59.0
429,42.9,59.0
430,43.0,60.0
431,43.1,60.0
432,43.2,60.0
433,43.3,60.0
434,43.4,60.0
435,43.5,60.0
436,43.6,60.0
437,43.7,60.0
438,43.8,60.0
439,43.9,60.0
440,44.0,60.0
441,44.1,61.0
442,44.2,61.0
443,44.3,61.0
444,44.4,61.0
445,44.5,61.0
446,44.6,61.0
447,44.7,62.0
448,44.8,62.0
449,44.9,62.0
450,45.0,62.0
451,45.1,62.0
452,45.2,61.0
453,45.3,61.0
454,45.4,61.0
455,45.5,61.0
456,45.6,61.0
457,45.7,61.0
458,45.8,61.0
459,45.9,61.0
460,46.0,61.0
461,46.1,61.0
462,46.2,61.0
463,46.3,61.0
464,46.4,60.0
465,46.5,60.0
466,46.6,60.0
467,46.7,60.0
468,46.8,61.0
469,46.9,61.0
470,47.0,61.0
471,47.1,61.0
472,47.2,61.0
473,47.3,61.0
474,47.4,62.0
475,47.5,62.0
476,47.6,61.0
477,47.7,61.0
478,47.8,61.0
479,47.9,61.0
480,48.0,61.0
481,48.1,61.0
482,48.2,61.0
483,48.3,60.0
484,48.4,60.0
485,48.5,59.0
486,48.6,59.0
487,48.7,59.0
488,48.8,59.0
489,48.9,61.0
490,49.0,61.0
491,49.1,61.0
492,49.2,62.0
493,49.3,63.0
494,49.4,63.0
495,49.5,62.0
496,49.6,63.0
497,49.7,63.0
498,49.8,63.0
499,49.9,63.0
500,50.0,63.0
501,50.1,63.0
502,50.2,63.0
503,50.3,63.0
504,50.4,63.0
505,50.5,63.0
506,50.6,63.0
507,50.7,63.0
508,50.8,63.0
509,50.9,63.0
510,51.0,63.0
511,51.1,63.0
512,51.2,63.0
513,51.3,63.0
514,51.4,63.0
515,51.5,63.0
516,51.6,62.0
517,51.7,62.0
518,51.8,63.0
519,51.9,63.0
520,52.0,64.0
521,52.1,64.0
522,52.2,63.0
523,52.3,64.0
524,52.4,64.0
525,52.5,64.0
526,52.6,64.0
527,52.7,64.0
528,52.8,65.0
529,52.9,65.0
530,53.0,66.0
531,53.1,66.0
532,53.2,67.0
533,53.3,67.0
534,53.4,67.0
535,53.5,67.0
536,53.6,67.0
537,53.7,67.0
538,53.8,67.0
539,53.9,67.0
540,54.0,67.0
541,54.1,67.0
542,54.2,67.0
543,54.3,68.0
544,54.4,71.0
545,54.5,71.0
546,54.6,71.0
547,54.7,71.0
548,54.8,72.0
549,54.9,72.0
550,55.0,72.0
551,55.1,72.0
552,55.2,73.0
553,55.3,73.0
554,55.4,73.0
555,55.5,74.0
556,55.6,74.0
557,55.7,74.0
558,55.8,73.0
559,55.9,72.0
560,56.0,72.0
561,56.1,72.0
562,56.2,71.0
563,56.3,71.0
564,56.4,71.0
565,56.5,71.0
566,56.6,71.0
567,56.7,72.0
568,56.8,72.0
569,56.9,72.0
570,57.0,72.0
571,57.1,72.0
572,57.2,72.0
573,57.3,72.0
574,57.4,72.0
575,57.5,72.0
576,57.6,72.0
577,57.7,72.0
578,57.8,72.0
579,57.9,71.0
580,58.0,70.0
581,58.1,70.0
582,58.2,70.0
583,58.3,70.0
584,58.4,70.0
585,58.5,70.0
586,58.6,70.0
587,58.7,71.0
588,58.8,71.0
589,58.9,71.0
590,59.0,71.0
591,59.1,72.0
592,59.2,72.0
593,59.3,73.0
594,59.4,73.0
595,59.5,73.0
596,59.6,73.0
597,59.7,73.0
598,59.8,73.0
599,59.9,73.0
600,60.0,73.0
601,60.1,72.0
602,60.2,72.0
603,60.3,72.0
604,60.4,72.0
605,60.5,72.0
606,60.6,71.0
607,60.7,70.0
608,60.8,70.0
609,60.9,70.0
610,61.0,70.0
611,61.1,70.0
612,61.2,71.0
613,61.3,72.0
614,61.4,72.0
615,61.5,72.0
616,61.6,72.0
617,61.7,72.0
618,61.8,72.0
619,61.9,72.0
620,62.0,72.0
621,62.1,71.0
622,62.2,71.0
623,62.3,73.0
624,62.4,73.0
625,62.5,73.0
626,62.6,73.0
627,62.7,73.0
628,62.8,73.0
629,62.9,73.0
630,63.0,73.0
631,63.1,72.0
632,63.2,72.0
633,63.3,72.0
634,63.4,71.0
635,63.5,71.0
636,63.6,69.0
637,63.7,69.0
638,63.8,69.0
639,63.9,69.0
640,64.0,69.0
641,64.1,69.0
642,64.2,69.0
643,64.3,70.0
644,64.4,70.0
645,64.5,70.0
646,64.6,70.0
647,64.7,70.0
648,64.8,70.0
649,64.9,70.0
650,65.0,70.0
651,65.1,70.0
652,65.2,68.0
653,65.3,68.0
654,65.4,69.0
655,65.5,69.0
656,65.6,69.0
657,65.7,68.0
658,65.8,68.0
659,65.9,68.0
660,66.0,68.0
661,66.1,68.0
662,66.2,68.0
663,66.3,68.0
664,66.4,68.0
665,66.5,68.0
666,66.6,67.0
667,66.7,67.0
668,66.8,67.0
669,66.9,67.0
670,67.0,67.0
671,67.1,67.0
672,67.2,67.0
673,67.3,67.0
674,67.4,67.0
675,67.5,67.0
676,67.6,67.0
677,67.7,65.0
678,67.8,66.0
679,67.9,66.0
680,68.0,66.0
681,68.1,66.0
682,68.2,66.0
683,68.3,66.0
684,68.4,66.0
685,68.5,66.0
686,68.6,65.0
687,68.7,65.0
688,68.8,64.0
689,68.9,64.0
690,69.0,64.0
691,69.1,63.0
692,69.2,63.0
693,69.3,63.0
694,69.4,63.0
695,69.5,63.0
696,69.6,63.0
697,69.7,62.0
698,69.8,62.0
699,69.9,61.0
700,70.0,61.0
701,70.1,61.0
702,70.2,61.0
703,70.3,61.0
704,70.4,62.0
705,70.5,62.0
706,70.6,62.0
707,70.7,62.0
708,70.8,62.0
709,70.9,62.0
710,71.0,61.0
711,71.1,61.0
712,71.2,61.0
713,71.3,61.0
714,71.4,60.0
715,71.5,60.0
716,71.6,60.0
717,71.7,60.0
718,71.8,60.0
719,71.9,60.0
720,72.0,60.0
721,72.1,60.0
722,72.2,60.0
723,72.3,60.0
724,72.4,60.0
725,72.5,60.0
726,72.6,60.0
727,72.7,60.0
728,72.8,60.0
729,72.9,59.0
730,73.0,59.0
731,73.1,59.0
732,73.2,59.0
733,73.3,59.0
734,73.4,59.0
735,73.5,59.0
736,73.6,59.0
737,73.7,59.0
738,73.8,59.0
739,73.9,59.0
740,74.0,59.0
741,74.1,59.0
742,74.2,59.0
743,74.3,59.0
744,74.4,59.0
745,74.5,57.99999999999999
746,74.6,57.99999999999999
747,74.7,57.99999999999999
748,74.8,57.99999999999999
749,74.9,57.99999999999999
750,75.0,56.99999999999999
751,75.1,56.99999999999999
752,75.2,56.99999999999999
753,75.3,56.99999999999999
754,75.4,56.99999999999999
755,75.5,56.99999999999999
756,75.6,56.99999999999999
757,75.7,56.00000000000001
758,75.8,56.00000000000001
759,75.9,56.00000000000001
760,76.0,55.00000000000001
761,76.1,55.00000000000001
762,76.2,55.00000000000001
763,76.3,55.00000000000001
764,76.4,55.00000000000001
765,76.5,55.00000000000001
766,76.6,55.00000000000001
767,76.7,55.00000000000001
768,76.8,55.00000000000001
769,76.9,55.00000000000001
770,77.0,55.00000000000001
771,77.1,55.00000000000001
772,77.2,55.00000000000001
773,77.3,55.00000000000001
774,77.4,55.00000000000001
775,77.5,55.00000000000001
776,77.6,55.00000000000001
777,77.7,55.00000000000001
778,77.8,55.00000000000001
779,77.9,55.00000000000001
780,78.0,55.00000000000001
781,78.1,55.00000000000001
782,78.2,55.00000000000001
783,78.3,55.00000000000001
784,78.4,55.00000000000001
785,78.5,55.00000000000001
786,78.6,55.00000000000001
787,78.7,55.00000000000001
788,78.8,55.00000000000001
789,78.9,55.00000000000001
790,79.0,55.00000000000001
791,79.1,55.00000000000001
792,79.2,55.00000000000001
793,79.3,55.00000000000001
794,79.4,55.00000000000001
795,79.5,55.00000000000001
796,79.6,55.00000000000001
797,79.7,55.00000000000001
798,79.8,55.00000000000001
799,79.9,55.00000000000001
800,80.0,55.00000000000001
801,80.1,56.00000000000001
802,80.2,56.99999999999999
803,80.3,56.99999999999999
804,80.4,56.99999999999999
805,80.5,56.99999999999999
806,80.6,56.99999999999999
807,80.7,56.99999999999999
808,80.8,56.99999999999999
809,80.9,56.99999999999999
810,81.0,56.99999999999999
811,81.1,56.99999999999999
812,81.2,56.99999999999999
813,81.3,56.99999999999999
814,81.4,56.99999999999999
815,81.5,56.99999999999999
816,81.6,56.99999999999999
817,81.7,56.99999999999999
818,81.8,56.99999999999999
819,81.9,56.99999999999999
820,82.0,56.99999999999999
821,82.1,56.99999999999999
822,82.2,56.99999999999999
823,82.3,56.99999999999999
824,82.4,56.99999999999999
825,82.5,56.99999999999999
826,82.6,56.99999999999999
827,82.7,56.99999999999999
828,82.8,56.99999999999999
829,82.9,56.00000000000001
830,83.0,56.00000000000001
831,83.1,56.00000000000001
832,83.2,56.00000000000001
833,83.3,56.00000000000001
834,83.4,56.00000000000001
835,83.5,56.00000000000001
836,83.6,56.00000000000001
837,83.7,55.00000000000001
838,83.8,55.00000000000001
839,83.9,55.00000000000001
840,84.0,55.00000000000001
841,84.1,55.00000000000001
842,84.2,55.00000000000001
843,84.3,55.00000000000001
844,84.4,55.00000000000001
845,84.5,55.00000000000001
846,84.6,55.00000000000001
847,84.7,55.00000000000001
848,84.8,55.00000000000001
849,84.9,55.00000000000001
850,85.0,55.00000000000001
851,85.1,55.00000000000001
852,85.2,55.00000000000001
853,85.3,55.00000000000001
854,85.4,55.00000000000001
855,85.5,55.00000000000001
856,85.6,55.00000000000001
857,85.7,55.00000000000001
858,85.8,55.00000000000001
859,85.9,55.00000000000001
860,86.0,55.00000000000001
861,86.1,55.00000000000001
862,86.2,55.00000000000001
863,86.3,55.00000000000001
864,86.4,55.00000000000001
865,86.5,55.00000000000001
866,86.6,55.00000000000001
867,86.7,55.00000000000001
868,86.8,55.00000000000001
869,86.9,55.00000000000001
870,87.0,55.00000000000001
871,87.1,55.00000000000001
872,87.2,55.00000000000001
873,87.3,55.00000000000001
874,87.4,55.00000000000001
875,87.5,54.0
876,87.6,54.0
877,87.7,54.0
878,87.8,54.0
879,87.9,54.0
880,88.0,54.0
881,88.1,54.0
882,88.2,54.0
883,88.3,54.0
884,88.4,54.0
885,88.5,54.0
886,88.6,54.0
887,88.7,54.0
888,88.8,54.0
889,88.9,54.0
890,89.0,54.0
891,89.1,54.0
892,89.2,54.0
893,89.3,54.0
894,89.4,54.0
895,89.5,54.0
896,89.6,54.0
897,89.7,54.0
898,89.8,54.0
899,89.9,54.0
900,90.0,54.0
901,90.1,54.0
902,90.2,54.0
903,90.3,54.0
904,90.4,54.0
905,90.5,54.0
906,90.6,54.0
907,90.7,54.0
908,90.8,54.0
909,90.9,54.0
910,91.0,54.0
911,91.1,54.0
912,91.2,54.0
913,91.3,54.0
914,91.4,54.0
915,91.5,54.0
916,91.6,54.0
917,91.7,54.0
918,91.8,54.0
919,91.9,54.0
920,92.0,54.0
921,92.1,54.0
922,92.2,54.0
923,92.3,54.0
924,92.4,54.0
925,92.5,54.0
926,92.6,54.0
927,92.7,54.0
928,92.8,54.0
929,92.9,54.0
930,93.0,54.0
931,93.1,54.0
932,93.2,54.0
933,93.3,54.0
934,93.4,54.0
935,93.5,54.0
936,93.6,54.0
937,93.7,54.0
938,93.8,53.0
939,93.9,53.0
940,94.0,53.0
941,94.1,53.0
942,94.2,53.0
943,94.3,53.0
944,94.4,53.0
945,94.5,53.0
946,94.6,53.0
947,94.7,53.0
948,94.8,53.0
949,94.9,53.0
950,95.0,53.0
951,95.1,53.0
952,95.2,53.0
953,95.3,53.0
954,95.4,53.0
955,95.5,52.0
956,95.6,52.0
957,95.7,52.0
958,95.8,52.0
959,95.9,52.0
960,96.0,52.0
961,96.1,52.0
962,96.2,52.0
963,96.3,52.0
964,96.4,52.0
965,96.5,52.0
966,96.6,52.0
967,96.7,52.0
968,96.8,52.0
969,96.9,52.0
970,97.0,52.0
971,97.1,52.0
972,97.2,52.0
973,97.3,52.0
974,97.4,52.0
975,97.5,52.0
976,97.6,52.0
977,97.7,52.0
978,97.8,52.0
979,97.9,52.0
980,98.0,52.0
981,98.1,52.0
982,98.2,52.0
983,98.3,52.0
984,98.4,52.0
985,98.5,52.0
986,98.6,52.0
987,98.7,52.0
988,98.8,52.0
989,98.9,52.0
990,99.0,52.0
991,99.1,52.0
992,99.2,52.0
993,99.3,52.0
994,99.4,52.0
995,99.5,52.0
996,99.6,52.0
997,99.7,52.0
998,99.8,52.0
999,99.9,52.0
